;Date;Absorber absorptance;DNI;Wspd;Wdir;DryBulb;Pressure;pr;tout;pout
0;17/06/2019 17:00;0,96;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
1;17/06/2019 17:00;0,9590000000000001;800;3;0;288;101000;0,9079176269072624;671,9480825227997;1823700,6486720038
2;17/06/2019 17:00;0,958;800;3;0;288;101000;0,9078784082864356;671,8357357455988;1823709,1229655934
3;17/06/2019 17:00;0,9570000000000001;800;3;0;288;101000;0,9078391013879233;671,7232192200622;1823717,4733661248
4;17/06/2019 17:00;0,956;800;3;0;288;101000;0,9077997055200401;671,6105332115544;1823725,5897087848
5;17/06/2019 17:00;0,955;800;3;0;288;101000;0,9077602211917316;671,4976781419906;1823733,7626019546
6;17/06/2019 17:00;0,9540000000000001;800;3;0;288;101000;0,9077206480369728;671,3846543233836;1823741,991737278
7;17/06/2019 17:00;0,953;800;3;0;288;101000;0,9076809835397261;671,2714617950858;1823750,2768085345
8;17/06/2019 17:00;0,9520000000000001;800;3;0;288;101000;0,9076412268707402;671,1581008154672;1823758,6175105919
9;17/06/2019 17:00;0,951;800;3;0;288;101000;0,9076013803152788;671,0445720436178;1823767,013539117
10;17/06/2019 17:00;0,95;800;3;0;288;101000;0,9075614435012538;670,9308758007145;1823775,4645918885
11;17/06/2019 17:00;0,9490000000000001;800;3;0;288;101000;0,9075214152954224;670,817012312176;1823783,7173568434
12;17/06/2019 17:00;0,948;800;3;0;288;101000;0,9074812954386656;670,7029819189063;1823791,8096734886
13;17/06/2019 17:00;0,9470000000000001;800;3;0;288;101000;0,9074410842123157;670,5887850338224;1823799,9601414283
14;17/06/2019 17:00;0,946;800;3;0;288;101000;0,9074007812383912;670,4744219871241;1823808,1684418947
15;17/06/2019 17:00;0,945;800;3;0;288;101000;0,9073603827903131;670,3598926806862;1823816,4342577474
16;17/06/2019 17:00;0,9440000000000001;800;3;0;288;101000;0,9073198903896506;670,24519769472;1823824,7572734365
17;17/06/2019 17:00;0,943;800;3;0;288;101000;0,9072793051461572;670,1303375581663;1823833,1371750135
18;17/06/2019 17:00;0,9420000000000001;800;3;0;288;101000;0,9072386266756457;670,0153126100022;1823841,5736500642
19;17/06/2019 17:00;0,941;800;3;0;288;101000;0,9071978545924345;669,9001231913845;1823850,0663876978
20;17/06/2019 17:00;0,94;800;3;0;288;101000;0,9071569885093659;669,7847696456395;1823858,6150785573
