;DNI;DryBulb;DewPoint;Pressure;Wdir;Wspd;BL.tin;BL.tout;BL.pin;BL.pout;BL.req_mf;BL.req_pr;SF.tin;SF.tout;SF.pin;SF.pout;SF.req_mf;SF.req_pr
1907-03-27 00:00:00+01:00;0,0;281,04999999999995;273,15;83000,0;0,0;16,0;563,15;513,4270339729809;2000000,0;1994403,222808034;1,0;0,0;562,8190014103188;512,8281486322411;500000,0;16620,026856733613;120,0;0,0
1907-03-27 01:00:00+01:00;0,0;278,45;273,15;83000,0;0,0;9,0;563,15;513,7609245898957;2000000,0;1994404,826247077;1,0;0,0;562,8190014103188;513,1617282797816;500000,0;16620,040218725637;120,0;0,0
1907-03-27 02:00:00+01:00;0,0;276,45;273,15;83000,0;0,0;16,0;563,15;513,3379304603376;2000000,0;1994402,8262699994;1,0;0,0;562,8190014103188;512,7391270892166;500000,0;16620,023552249993;120,0;0,0
1907-03-27 03:00:00+01:00;0,0;276,04999999999995;273,15;83000,0;0,0;21,0;563,15;513,0556666915973;2000000,0;1994401,4857260927;1,0;0,0;562,8190014103188;512,457120134046;500000,0;16620,012381050776;120,0;0,0
1907-03-27 04:00:00+01:00;0,0;276,15;273,15;83000,0;0,0;19,0;563,15;513,1673743934234;2000000,0;1994402,0166538218;1,0;0,0;562,8190014103188;512,5687267200135;500000,0;16620,016805448515;120,0;0,0
1907-03-27 05:00:00+01:00;0,0;275,54999999999995;273,15;83000,0;0,0;15,0;563,15;513,3760617914508;2000000,0;1994403,0128067583;1,0;0,0;562,8190014103188;512,777223394585;500000,0;16620,025106722987;120,0;0,0
1907-03-27 06:00:00+01:00;0,0;275,84999999999997;273,15;83000,0;0,0;20,0;563,15;513,1067554150243;2000000,0;1994401,729993264;1,0;0,0;562,8190014103188;512,5081626975591;500000,0;16620,014416610527;120,0;0,0
1907-03-27 07:00:00+01:00;255,0;276,15;273,15;83000,0;0,0;18,0;563,15;513,2223133962622;2000000,0;1994402,2780269436;1,0;0,0;562,8190014103188;512,6236157429373;500000,0;16620,018983557864;120,0;0,0
1907-03-27 08:00:00+01:00;710,0;279,15;273,15;83000,0;0,0;16,0;563,15;662,5820054293259;2000000,0;1987558,8469971681;1,4978981104290257;0,8195221670860192;562,8190014103188;662,008026357831;499999,99999999994;16562,990391643067;179,74777325148315;0,0
1907-03-27 09:00:00+01:00;825,0;282,15;273,15;83000,0;0,0;19,0;563,15;663,808634912201;2000000,0;1919501,6594713165;4,157650708641711;0,9278805160489755;562,8190014103188;663,2186282373278;500000,0;15995,84716226097;498,9180850370053;0,0
1907-03-27 10:00:00+01:00;921,0;285,04999999999995;273,15;83000,0;0,0;22,0;563,15;663,8074082138047;2000000,0;1900583,42567236;4,660420034796163;0,9403756990577228;562,8190014103188;663,21741830312;499999,99999999994;15838,195213936333;559,2504041755395;0,0
1907-03-27 11:00:00+01:00;957,0;287,25;273,15;83000,0;0,0;21,0;563,15;663,7957606453277;2000000,0;1895356,0629956385;4,791026288691445;0,9443181387019148;562,8190014103188;663,2059298369852;500000,00000000006;15794,633858296997;574,9231546429734;0,0
1907-03-27 12:00:00+01:00;972,0;288,54999999999995;273,15;83000,0;0,0;24,0;563,15;663,7987066982182;2000000,0;1895259,807624643;4,793138051719978;0,9448898844725656;562,8190014103188;663,2088356604047;500000,0;15793,831730205358;575,1765662063974;0,0
1907-03-27 13:00:00+01:00;973,0;289,84999999999997;273,15;83000,0;0,0;27,0;563,15;663,7665742583345;2000000,0;1896956,237781502;4,750989266835885;0,9443624207845721;562,8190014103188;663,1771415353178;500000,0;15807,968648179178;570,1187120203064;0,0
1907-03-27 14:00:00+01:00;949,0;290,95;273,15;83000,0;0,0;40,0;563,15;663,7812666975307;2000000,0;1901845,0986138477;4,627671745188167;0,9407771703724915;562,8190014103188;663,1916336839586;500000,0;15848,709155115395;555,32060942258;0,0
1907-03-27 15:00:00+01:00;938,0;291,95;273,15;83000,0;0,0;41,0;563,15;663,783327992066;2000000,0;1901758,4273335233;4,630030440141984;0,9400528882422193;562,8190014103188;663,1936668613248;499999,99999999994;15847,986894446036;555,6036528170379;0,0
1907-03-27 16:00:00+01:00;891,0;292,75;273,15;83000,0;0,0;32,0;563,15;663,7184253994446;2000000,0;1908233,4411653357;4,46292886820472;0,9380658025322832;562,8190014103188;663,1296475510205;500000,0;15901,945343044454;535,5514641845668;0,0
1907-03-27 17:00:00+01:00;805,0;293,15;273,15;83000,0;0,0;21,0;563,15;663,7623139223747;2000000,0;1923024,6788965506;4,0579729154726225;0,9309846387087789;562,8190014103188;663,172939237108;500000,0;16025,205657471257;486,9567498567145;0,0
1907-03-27 18:00:00+01:00;612,0;292,15;273,15;83000,0;0,0;33,0;563,15;662,4883185992992;2000000,0;1970520,0656801525;2,407511227139335;0,8692456991538581;562,8190014103188;661,9155041589579;499999,99999999994;16421,0005473346;288,9013472567204;0,0
1907-03-27 19:00:00+01:00;131,0;290,15;273,15;83000,0;0,0;13,0;563,15;538,2332464664553;2000000,0;1994509,6050094296;1,0;0,2458660890932204;562,8190014103188;537,60040449927;500000,0;16620,91337507858;120,0;0,0
1907-03-27 20:00:00+01:00;0,0;288,25;273,15;83000,0;0,0;1,0;563,15;514,3518977087674;2000000,0;1994407,5771998086;1,0;0,0;562,8190014103188;513,7521364191582;500000,0;16620,06314333174;120,0;0,0
1907-03-27 21:00:00+01:00;0,0;285,95;273,15;83000,0;0,0;9,0;563,15;513,908572285733;2000000,0;1994405,4834170393;1,0;0,0;562,8190014103188;513,3092365578646;500000,0;16620,045695141995;120,0;0,0
1907-03-27 22:00:00+01:00;0,0;283,25;273,15;83000,0;0,0;14,0;563,15;513,5804728560776;2000000,0;1994403,9393454269;1,0;0,0;562,8190014103188;512,9814453549353;500000,0;16620,032827878556;120,0;0,0
1907-03-27 23:00:00+01:00;0,0;283,54999999999995;273,15;83000,0;0,0;51,0;563,15;511,5831765184495;2000000,0;1994394,4203228385;1,0;0,0;562,8190014103188;510,9858979602634;500000,0;16619,953502690318;120,0;0,0
