datetime;DNI;DryBulb;DewPoint;Pressure;Wdir;Wspd;BL.tin;BL.tout;BL.pin;BL.pout;BL.req_mf;BL.req_pr;SF.tin;SF.tout;SF.pin;SF.pout;SF.req_mf;SF.req_pr
1989-07-01 01:00:00-08:00;0;275,44;273,37;94400,0;260;7,7;563,15;560,851179807196;2000000,0;1994578,0326669316;1,0;0,0;562,8190014103188;560,1905526974207;500000,0;16621,483605557758;120,0;0,0
1989-07-01 02:00:00-08:00;0;275,34;273,53999999999996;94400,0;250;7,0;563,15;560,8533130209192;2000000,0;1994578,0352788032;1,0;0,0;562,8190014103188;560,1926845299524;500000,0;16621,483627323363;120,0;0,0
1989-07-01 03:00:00-08:00;0;275,25;273,7;94400,0;280;6,4;563,15;560,855138225599;2000000,0;1994578,037513234;1,0;0,0;562,8190014103188;560,19450855313;500000,0;16621,483645943616;120,0;0,0
1989-07-01 04:00:00-08:00;0;275,15;273,87;94400,0;250;5,7;563,15;560,8572724089389;2000000,0;1994578,0401255009;1,0;0,0;562,8190014103188;560,1966413552639;500000,0;16621,483667712513;120,0;0,0
1989-07-01 05:00:00-08:00;76;275,21;273,92999999999995;94500,0;300;5,2;563,15;561,8264932990967;2000000,0;1994579,1820173913;1,0;0,0;562,8190014103188;561,1652695425397;500000,0;16621,493183478266;120,0;0,0
1989-07-01 06:00:00-08:00;548;275,15;274,03999999999996;94500,0;260;6,2;563,15;561,8264932990967;2000000,0;1994579,1820173913;1,0;0,0;562,8190014103188;561,1652695425397;500000,0;16621,493183478266;120,0;0,0
1989-07-01 07:00:00-08:00;770;275,47999999999996;274,09;94500,0;270;7,7;563,15;561,8264932990967;2000000,0;1994579,1820173913;1,0;0,0;562,8190014103188;561,1652695425397;500000,0;16621,493183478266;120,0;0,0
1989-07-01 08:00:00-08:00;849;275,59;274,09;94600,0;290;9,3;563,15;561,8264932990967;2000000,0;1994579,1820173913;1,0;0,0;562,8190014103188;561,1652695425397;500000,0;16621,493183478266;120,0;0,0
1989-07-01 09:00:00-08:00;892;275,76;274,15;94600,0;300;7,2;563,15;561,8264932990967;2000000,0;1994579,1820173913;1,0;0,0;562,8190014103188;561,1652695425397;500000,0;16621,493183478266;120,0;0,0
1989-07-01 10:00:00-08:00;900;276,03999999999996;273,92999999999995;94600,0;280;7,7;563,15;561,8264932990967;2000000,0;1994579,1820173913;1,0;0,0;562,8190014103188;561,1652695425397;500000,0;16621,493183478266;120,0;0,0
