;Wspd;Wdir;DryBulb;DNI;Pressure;NO.mf;NE.mf;SO.mf;SE.mf;NO.pin;NE.pin;NO.pout;NE.pout;SO.pout;SE.pout;SO.pin;SE.pin;NO.tin;NE.tin;NO.tout;NE.tout;SO.tout;SE.tout;SO.tin;SE.tin;Massflow_df;Tout_df;NO0_tin;NO0_tout;NO0_mf;NE0_tin;NE0_tout;NE0_mf;SO0_tin;SO0_tout;SO0_mf;SE0_tin;SE0_tout;SE0_mf;PTLoop_mf;PTLoop_tin;PTLoop_tout;Pthermal;Tin;Tout;MF;Pmec;Cycle.pr;HE.pr;Pelec
2019-06-17 00:00:00;2,02;196,27;291,89;0,12;93968,0;44,94;43,35;44,44;43,68;1206000,0;1199000,0;1171000,0;1166000,0;1171000,0;1169000,0;1208000,0;1201000,0;479,74;479,74;470,39;471,45;471,09999999999997;471,83;480,29999999999995;480,61;176,41;471,39939287242527;563,15;551,8977726863513;1,498;563,15;550,5490532731573;1,445;563,15;551,4826234320961;1,4813333333333332;563,15;550,8359267224179;1,456;1,456;563,15;550,8359267224179;-5,7;566,0;552,0;176,0;0,0;0,27;0,8;0,0
2019-06-17 01:00:00;2,05;194,94;290,34999999999997;0,13;93968,0;45,58;43,93;43,38;44,48;1196000,0;1188000,0;1161000,0;1151000,0;1155000,0;1155000,0;1198000,0;1192000,0;471,2;471,18999999999994;462,88;464,12;463,84;464,28;471,73;471,78999999999996;177,36999999999998;463,9907073779027;566,15;554,5135113860968;1,5193333333333332;566,15;553,1234732099813;1,4643333333333333;566,15;552,6399223032075;1,4460000000000002;566,15;553,5967069060758;1,4826666666666666;1,4826666666666666;566,15;553,5967069060758;-4,8;566,0;554,0;177,0;0,0;0,27;0,8;0,0
2019-06-17 02:00:00;2,17;187,37;288,83;0,13;93998,0;46,14;44,33;43,89;45,06;1181000,0;1172000,0;1150000,0;1141000,0;1144000,0;1140000,0;1188000,0;1176000,0;463,66999999999996;463,62;455,63;456,78;456,84999999999997;457,28999999999996;464,16999999999996;464,25;179,42000000000002;456,8520954180453;566,15;554,8542898465008;1,538;566,15;553,3536195772411;1,4776666666666667;566,15;552,9727110057493;1,463;566,15;553,9714007154295;1,502;1,502;566,15;553,9714007154295;-4,7;566,0;554,0;179,0;0,0;0,27;0,8;0,0
2019-06-17 03:00:00;2,27;186,57;287,82;0,23;93967,0;46,54;44,62;44,26;45,45;1185000,0;1181000,0;1148000,0;1141000,0;1144000,0;1141000,0;1187000,0;1175000,0;456,68999999999994;456,61;448,88;449,77;450,09;450,53999999999996;456,87;457,17999999999995;180,87;450,0406588179968;566,15;555,1207306360234;1,5513333333333332;566,15;553,5479884064268;1,4873333333333332;566,15;553,2400042135581;1,4753333333333332;566,15;554,2419794980915;1,5150000000000001;1,5150000000000001;566,15;554,2419794980915;-4,7;566,0;554,0;181,0;0,0;0,27;0,8;0,0
2019-06-17 04:00:00;2,3;188,48;288,09;0,23;93981,0;51,31;49,13;48,95;49,85;1200000,0;1203000,0;1167000,0;1160000,0;1161000,0;1157000,0;1213000,0;1202000,0;449,90999999999997;449,86;442,92999999999995;443,53;443,88;444,09999999999997;450,14;450,15999999999997;199,23999999999998;443,83701962206317;566,15;558,5849068761879;1,7103333333333335;566,15;557,0769959866678;1,6376666666666668;566,15;556,9472420613715;1,6316666666666668;566,15;557,5878020985626;1,6616666666666666;1,6616666666666666;566,15;557,5878020985626;-3,6;566,0;558,0;199,0;0,0;0,27;0,8;0,0
2019-06-17 05:00:00;2,63;189,9;287,41999999999996;0,23;93966,0;51,95;49,7;49,39;50,67;1196000,0;1188000,0;1151000,0;1146000,0;1150000,0;1147000,0;1200000,0;1188000,0;443,40999999999997;443,38;437,2;437,77;437,93999999999994;438,15999999999997;443,89;443,66999999999996;201,71000000000004;438,000768758267;566,15;558,8802111900051;1,7316666666666667;566,15;557,351870405653;1,6566666666666667;566,15;557,1317506220312;1,6463333333333334;566,15;558,0253633150533;1,689;1,689;566,15;558,0253633150533;-3,5;566,0;558,0;202,0;0,0;0,27;0,8;0,0
2019-06-17 06:00:00;2,87;192,09;287,27;45,07;93967,0;63,58;60,13;62,28;60,47;1136000,0;1131000,0;1058000,0;1052000,0;1054000,0;1051000,0;1140000,0;1127000,0;437,01;436,93999999999994;431,56999999999994;432,03999999999996;432,25;432,40999999999997;437,39;437,28999999999996;246,46;432,30561477556637;566,15;575,1827448732078;2,119333333333333;566,15;574,0560877096495;2,0043333333333333;566,15;574,771190832663;2,076;566,15;574,1721619966052;2,0156666666666667;2,0156666666666667;566,15;574,1721619966052;4,9;566,0;575,0;246,0;27,84;0,27;0,8;27,56
2019-06-17 07:00:00;2,63;193,9;288,27;325,24;93997,0;88,27;84,64;84,04;85,76;1191000,0;1183000,0;1079000,0;1072000,0;1074000,0;1070000,0;1192000,0;1182000,0;437,33;436,41999999999996;474,5;463,21999999999997;465,80999999999995;462,67999999999995;436,54999999999995;436,03999999999996;342,71;466,85485688219933;566,15;624,4290946221874;2,942333333333333;566,15;625,4132646143166;2,8213333333333335;566,15;625,5828356801837;2,8013333333333335;566,15;625,1020965930996;2,8586666666666667;2,8586666666666667;566,15;625,1020965930996;46,7;566,0;625,0;343,0;47,16;0,27;0,8;46,69
2019-06-17 08:00:00;2,49;196,8;291,03999999999996;619,09;94031,0;122,93;119,76;116,26;119,15;1592000,0;1569000,0;1404000,0;1390000,0;1402000,0;1388000,0;1584000,0;1568000,0;490,84;489,65;587,16;567,5999999999999;568,8;565,51;489,71;489,75;478,1;572,6573971534142;566,15;650,0934406203946;4,097666666666667;566,15;651,3494648776783;3,992;566,15;652,8112082337497;3,8753333333333333;566,15;651,5983844826956;3,9716666666666667;3,9716666666666667;566,15;651,5983844826956;95,0;566,0;652,0;478,0;72,14;0,27;0,8;71,42
2019-06-17 09:00:00;4,59;224,66;294,10999999999996;763,86;94046,0;153,85;150,44;146,79;148,34;2193000,0;2172000,0;1857999,9999999998;1863000,0;1859000,0;1866000,0;2191000,0;2178000,0;550,02;549,77;663,8499999999999;655,52;656,0899999999999;652,98;549,9;550,41;599,42;657,3638535545483;566,15;653,1649137828797;5,128333333333333;566,15;654,3342763497831;5,014666666666667;566,15;655,6450124249114;4,893;566,15;655,0806429805529;4,9446666666666665;4,9446666666666665;566,15;655,0806429805529;123,6;566,0;655,0;599,0;91,39;0,27;0,8;90,48
