datetime;DNI;DryBulb;DewPoint;Pressure;Wdir;Wspd;BL.tin;BL.tout;BL.pin;BL.pout;BL.req_mf;BL.req_pr;SF.tin;SF.tout;SF.pin;SF.pout;SF.req_mf;SF.req_pr
1989-07-01 01:00:00-08:00;0;275,44;273,37;94400,0;260;7,7;563,15;560,851179807196;2000000,0;1994578,0326669316;1,0;0,0;562,8190014103188;560,1905526974207;500000,0;16621,483605557758;120,0;0,0
1989-07-01 02:00:00-08:00;0;275,34;273,53999999999996;94400,0;250;7,0;563,15;560,8533130209192;2000000,0;1994578,0352788032;1,0;0,0;562,8190014103188;560,1926845299524;500000,0;16621,483627323363;120,0;0,0
1989-07-01 03:00:00-08:00;0;275,25;273,7;94400,0;280;6,4;563,15;560,855138225599;2000000,0;1994578,037513234;1,0;0,0;562,8190014103188;560,19450855313;500000,0;16621,483645943616;120,0;0,0
1989-07-01 04:00:00-08:00;0;275,15;273,87;94400,0;250;5,7;563,15;560,8572724089389;2000000,0;1994578,0401255009;1,0;0,0;562,8190014103188;560,1966413552639;500000,0;16621,483667712513;120,0;0,0
1989-07-01 05:00:00-08:00;76;275,21;273,92999999999995;94500,0;300;5,2;563,15;561,8264932990967;2000000,0;1994579,1820173913;1,0;0,0;562,8190014103188;561,1652695425397;500000,0;16621,493183478266;120,0;0,0
1989-07-01 06:00:00-08:00;548;275,15;274,03999999999996;94500,0;260;6,2;563,15;662,5725495410461;2000000,0;1971016,4355653843;2,413435518581831;0,8732831240563691;562,8190014103188;661,9986883938274;500000,00000000006;16425,13696304488;289,61226222981963;0,0
1989-07-01 07:00:00-08:00;770;275,47999999999996;274,09;94500,0;270;7,7;563,15;663,8114571536352;2000000,0;1888828,9131892186;5,007514166095947;0,9358882848711456;562,8190014103188;663,2214119040351;500000,0;15740,240943243492;600,9016999315135;0,0
1989-07-01 08:00:00-08:00;849;275,59;274,09;94600,0;290;9,3;563,15;663,7432779318256;2000000,0;1863859,5011656687;5,585338180936638;0,9417763811081332;562,8190014103188;663,1541623502133;500000,0;15532,16250971389;670,2405817123971;0,0
1989-07-01 09:00:00-08:00;892;275,76;274,15;94600,0;300;7,2;563,15;663,7255260171434;2000000,0;1850145,966078349;5,8813030172248775;0,9448715564875109;562,8190014103188;663,1366517374372;500000,0;15417,883050652907;705,756362066985;0,0
1989-07-01 10:00:00-08:00;900;276,03999999999996;273,92999999999995;94600,0;280;7,7;563,15;663,7334241749763;2000000,0;1848401,4799880101;5,9179734489084845;0,9451155555115349;562,8190014103188;663,1444425741353;499999,99999999994;15403,345666566744;710,1568138690186;0,0
