;DNI;DryBulb;DewPoint;Pressure;Wspd;elevation;zenith;azimuth;aoi;IAM;pr_geo;pr_shadows;pr_opt_peak;solar_fraction;SF.x.mf;SF.x.tin;SF.x.tout;SF.x.pin;SF.x.pout;SF.x.prth;SF.x.prop;SF.x.qabs;SF.x.qlst;SF.x.qlbk;SF.x.pwr;LB.000.x.mf;LB.000.x.tin;LB.000.x.tout;LB.000.x.pin;LB.000.x.pout;LB.000.x.prth;LB.000.x.prop;LB.000.x.qabs;LB.000.x.qlst;LB.000.x.qlbk;SB.NO.x.mf;SB.NO.x.tin;SB.NO.x.tout;SB.NO.x.pin;SB.NO.x.pout;SB.NO.x.prth;SB.NO.x.prop;SB.NO.x.qabs;SB.NO.x.qlst;SB.NO.x.qlbk;SB.NE.x.mf;SB.NE.x.tin;SB.NE.x.tout;SB.NE.x.pin;SB.NE.x.pout;SB.NE.x.prth;SB.NE.x.prop;SB.NE.x.qabs;SB.NE.x.qlst;SB.NE.x.qlbk;SB.SO.x.mf;SB.SO.x.tin;SB.SO.x.tout;SB.SO.x.pin;SB.SO.x.pout;SB.SO.x.prth;SB.SO.x.prop;SB.SO.x.qabs;SB.SO.x.qlst;SB.SO.x.qlbk;SB.SE.x.mf;SB.SE.x.tin;SB.SE.x.tout;SB.SE.x.pin;SB.SE.x.pout;SB.SE.x.prth;SB.SE.x.prop;SB.SE.x.qabs;SB.SE.x.qlst;SB.SE.x.qlbk
1907-03-27 00:00:00+01:00;0,0;281,04999999999995;273,15;83000,0;16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907-03-27 01:00:00+01:00;0,0;278,45;273,15;83000,0;9,0;-48,54511861124986;138,54511861124985;352,824646965924;41,059725867209174;0,9280151840149667;0,9897831778444445;0,0;0,7281244610469688;0,8449899512669999;120,0;566,15;496,7508645795929;2000000,0;1991510,0440241487;0,0;0,6757105557043015;0,0;7163785,9127000095;188259,8608406843;-18415356,955640722;1,0;566,15;497,3430174648975;2000000,0;1991510,0440241492;0,0;0,6757105557043013;0,0;59698,21593916675;1568,83217367237;30,0;566,15;497,0469515349123;2000000,0;1991510,0440241487;0,0;0,6757105557043015;0,0;1790946,4781750024;47064,965210171074;30,0;566,15;497,0469515349123;2000000,0;1991510,0440241487;0,0;0,6757105557043015;0,0;1790946,4781750024;47064,965210171074;30,0;566,15;497,0469515349123;2000000,0;1991510,0440241487;0,0;0,6757105557043015;0,0;1790946,4781750024;47064,965210171074;30,0;566,15;497,0469515349123;2000000,0;1991510,0440241487;0,0;0,6757105557043015;0,0;1790946,4781750024;47064,965210171074
1907-03-27 02:00:00+01:00;0,0;276,45;273,15;83000,0;16,0;-47,694431075761955;137,69443107576194;15,328843556042898;40,476721917838674;0,9313232013059097;0,9899912423003041;0,0;0,7281244610469688;0,8449899512669999;120,0;566,15;496,23021831949933;2000000,0;1991506,4981803298;0,0;0,6781192040114029;0,0;7323094,198481268;189587,695107105;-18547498,36133971;1,0;566,15;496,82245536329015;2000000,0;1991506,4981803298;0,0;0,6781192040114031;0,0;61025,78498734389;1579,8974592258753;30,0;566,15;496,52635026344797;2000000,0;1991506,4981803298;0,0;0,6781192040114029;0,0;1830773,549620317;47396,92377677625;30,0;566,15;496,52635026344797;2000000,0;1991506,4981803298;0,0;0,6781192040114029;0,0;1830773,549620317;47396,92377677625;30,0;566,15;496,52635026344797;2000000,0;1991506,4981803298;0,0;0,6781192040114029;0,0;1830773,549620317;47396,92377677625;30,0;566,15;496,52635026344797;2000000,0;1991506,4981803298;0,0;0,6781192040114029;0,0;1830773,549620317;47396,92377677625
1907-03-27 03:00:00+01:00;0,0;276,04999999999995;273,15;83000,0;21,0;-42,662460775408796;132,6624607754088;35,44286707218453;36,804929532266755;0,9497378625756174;0,9912244656107511;0,0;0,7281244610469688;0,8449899512669999;120,0;566,15;495,88425768691064;2000000,0;1991504,1318649526;0,0;0,6915273693237717;0,0;7428889,648020488;189746,36521050858;-18635254,18984753;1,0;566,15;496,4765619816488;2000000,0;1991504,131864953;0,0;0,6915273693237715;0,0;61907,41373350408;1581,2197100875715;30,0;566,15;496,1804251981346;2000000,0;1991504,1318649526;0,0;0,6915273693237717;0,0;1857222,412005122;47436,591302627145;30,0;566,15;496,1804251981346;2000000,0;1991504,1318649526;0,0;0,6915273693237717;0,0;1857222,412005122;47436,591302627145;30,0;566,15;496,1804251981346;2000000,0;1991504,1318649526;0,0;0,6915273693237717;0,0;1857222,412005122;47436,591302627145;30,0;566,15;496,1804251981346;2000000,0;1991504,1318649526;0,0;0,6915273693237717;0,0;1857222,412005122;47436,591302627145
1907-03-27 04:00:00+01:00;0,0;276,15;273,15;83000,0;19,0;-34,61238385712542;124,61238385712542;51,695880355730765;30,672690581713123;0,9727503002960795;0,9930437475034203;0,0;0,7281244610469688;0,8449899512669999;120,0;566,15;496,02107648101855;2000000,0;1991505,068185449;0,0;0,7082832881363601;0,0;7387057,800258335;189728,94955574896;-18600553,713293884;1,0;566,15;496,6133530960095;2000000,0;1991505,068185449;0,0;0,7082832881363599;0,0;61558,81500215281;1581,0745796312415;30,0;566,15;496,317229383629;2000000,0;1991505,068185449;0,0;0,7082832881363601;0,0;1846764,4500645837;47432,23738893724;30,0;566,15;496,317229383629;2000000,0;1991505,068185449;0,0;0,7082832881363601;0,0;1846764,4500645837;47432,23738893724;30,0;566,15;496,317229383629;2000000,0;1991505,068185449;0,0;0,7082832881363601;0,0;1846764,4500645837;47432,23738893724;30,0;566,15;496,317229383629;2000000,0;1991505,068185449;0,0;0,7082832881363601;0,0;1846764,4500645837;47432,23738893724
1907-03-27 05:00:00+01:00;0,0;275,54999999999995;273,15;83000,0;15,0;-24,71217275676239;114,71217275676239;64,69160301668308;22,851281321845704;0,9914679335238602;0,9950574798922741;0,0;0,7281244610469688;0,8449899512669999;120,0;566,15;496,2755744888264;2000000,0;1991506,8238856408;0,0;0,7219120547424124;0,0;7309164,154611606;190308,71834096493;-18535990,432714876;1,0;566,15;496,8678033875287;2000000,0;1991506,8238856404;0,0;0,7219120547424127;0,0;60909,701288430064;1585,9059861747078;30,0;566,15;496,57170210615897;2000000,0;1991506,8238856408;0,0;0,7219120547424124;0,0;1827291,0386529015;47577,17958524123;30,0;566,15;496,57170210615897;2000000,0;1991506,8238856408;0,0;0,7219120547424124;0,0;1827291,0386529015;47577,17958524123;30,0;566,15;496,57170210615897;2000000,0;1991506,8238856408;0,0;0,7219120547424124;0,0;1827291,0386529015;47577,17958524123;30,0;566,15;496,57170210615897;2000000,0;1991506,8238856408;0,0;0,7219120547424124;0,0;1827291,0386529015;47577,17958524123
1907-03-27 06:00:00+01:00;0,0;275,84999999999997;273,15;83000,0;20,0;-13,768793277450094;103,7687932774501;75,57018189011933;14,006566970464057;0,9981099646763885;0,9970743548241325;0,0;0,7281244610469688;0,8449899512669999;120,0;566,15;495,94646454759254;2000000,0;1991504,5615017884;0,0;0,7267482800956047;0,0;7409857,928597202;189929,6413080787;-18619477,833843555;1,0;566,15;496,5387560813646;2000000,0;1991504,561501789;0,0;0,7267482800956043;0,0;61748,81607164337;1582,7470109006563;30,0;566,15;496,2426253286838;2000000,0;1991504,5615017884;0,0;0,7267482800956047;0,0;1852464,4821493004;47482,41032701967;30,0;566,15;496,2426253286838;2000000,0;1991504,5615017884;0,0;0,7267482800956047;0,0;1852464,4821493004;47482,41032701967;30,0;566,15;496,2426253286838;2000000,0;1991504,5615017884;0,0;0,7267482800956047;0,0;1852464,4821493004;47482,41032701967;30,0;566,15;496,2426253286838;2000000,0;1991504,5615017884;0,0;0,7267482800956047;0,0;1852464,4821493004;47482,41032701967
1907-03-27 07:00:00+01:00;255,0;276,15;273,15;83000,0;18,0;-2,2991952101728943;92,2991952101729;85,33868000669395;4,657559147349368;0,997041965357057;0,9990444961974833;0,0;0,7281244610469688;0,8449899512669999;120,0;566,15;496,08829863631024;2000000,0;1991505,5292242744;0,0;0,7259706436668174;0,0;7366496,866101632;189758,65599283634;-18583502,304421704;1,0;566,15;496,6805621712874;2000000,0;1991505,5292242742;0,0;0,7259706436668177;0,0;61387,47388418029;1581,3221332736362;30,0;566,15;496,3844446215997;2000000,0;1991505,5292242744;0,0;0,7259706436668174;0,0;1841624,216525408;47439,663998209086;30,0;566,15;496,3844446215997;2000000,0;1991505,5292242744;0,0;0,7259706436668174;0,0;1841624,216525408;47439,663998209086;30,0;566,15;496,3844446215997;2000000,0;1991505,5292242744;0,0;0,7259706436668174;0,0;1841624,216525408;47439,663998209086;30,0;566,15;496,3844446215997;2000000,0;1991505,5292242744;0,0;0,7259706436668174;0,0;1841624,216525408;47439,663998209086
1907-03-27 08:00:00+01:00;710,0;279,15;273,15;83000,0;16,0;9,330042947808408;80,66995705219159;94,83538159041888;4,771264295793027;0,9969984914760763;0,9990210625512582;0,45658065759885913;0,7281244610469688;0,8449899512669999;231,52518782209424;566,15;665,4348348117579;2000000,0;1970174,6142362002;0,8383629462964799;0,7259389892706589;106591423,87217298;16973895,97153887;255799,9376009698;56331609,82782005;1,929376565184118;566,15;666,0581745411499;2000000,0;1970174,6142362007;0,8383629462964804;0,7259389892706591;888261,8656014411;141449,1330961573;2131,6661466747487;57,88129695552356;566,15;665,7452478087619;2000000,0;1970174,6142362002;0,8383629462964799;0,7259389892706589;26647855,968043245;4243473,992884718;63949,98440024245;57,88129695552356;566,15;665,7452478087619;2000000,0;1970174,6142362002;0,8383629462964799;0,7259389892706589;26647855,968043245;4243473,992884718;63949,98440024245;57,88129695552356;566,15;665,7452478087619;2000000,0;1970174,6142362002;0,8383629462964799;0,7259389892706589;26647855,968043245;4243473,992884718;63949,98440024245;57,88129695552356;566,15;665,7452478087619;2000000,0;1970174,6142362002;0,8383629462964799;0,7259389892706589;26647855,968043245;4243473,992884718;63949,98440024245
1907-03-27 09:00:00+01:00;825,0;282,15;273,15;83000,0;19,0;20,78955839350307;69,21044160649693;104,867583007907;13,879444700444711;0,9980305453323912;0,9971019806074043;0,9996047910396345;0,7281244610469688;0,8449899512669999;654,5664374001469;566,15;665,6116394150403;2000000,0;1799046,5522824423;0,9358604772513761;0,7266904529285596;270921174,47128516;17091271,406287264;252562,16393300417;159562144,7346497;5,454720311667889;566,15;666,2378721431456;2000000,0;1799046,552282443;0,9358604772513763;0,7266904529285598;2257676,4539273763;142427,2617190605;2104,684699441702;163,64160935003673;566,15;665,9234775509486;2000000,0;1799046,5522824423;0,9358604772513761;0,7266904529285596;67730293,61782129;4272817,851571816;63140,54098325104;163,64160935003673;566,15;665,9234775509486;2000000,0;1799046,5522824423;0,9358604772513761;0,7266904529285596;67730293,61782129;4272817,851571816;63140,54098325104;163,64160935003673;566,15;665,9234775509486;2000000,0;1799046,5522824423;0,9358604772513761;0,7266904529285596;67730293,61782129;4272817,851571816;63140,54098325104;163,64160935003673;566,15;665,9234775509486;2000000,0;1799046,5522824423;0,9358604772513761;0,7266904529285596;67730293,61782129;4272817,851571816;63140,54098325104
