;Aperture;DNI;Wspd;Wdir;DryBulb;Pressure;pr;tout;pout
2019-06-17 17:00:00;5,0;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;5,5;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;6,0;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;6,5;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;7,0;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;7,5;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;8,0;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;8,5;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;9,0;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;9,5;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;10,0;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;10,5;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;11,0;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;11,5;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;12,0;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;12,5;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;13,0;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;13,5;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;14,0;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;14,5;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
2019-06-17 17:00:00;15,0;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
