;Date;DNI;Wspd;Wdir;DryBulb;Pressure;pr;tout;pout;Z;E;aoi
0;17/04/2019 0:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559;130,52099734788732;-40,520997347887324;49,31469922690796
1;17/04/2019 1:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559;129,3636506122766;-39,36365061227659;48,24865811479988
2;17/04/2019 2:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559;124,59902552253533;-34,599025522535335;43,82020146555661
3;17/04/2019 3:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559;117,06593808837599;-27,065938088375983;36,944596280549014
4;17/04/2019 4:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559;107,66675682990635;-17,66675682990634;28,569195714431338
5;17/04/2019 5:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559;97,09674133603464;-7,096741336034635;19,409481102732226
6;17/04/2019 6:00;800;3;0;288;101000;0,7899857921699812;565,4516991354824;1831749,0051664594;85,84047965531771;4,159520344682287;9,979472436989775
7;17/04/2019 7:00;800;3;0;288;101000;0,8924792901642808;643,7565451876324;1826366,318723447;74,25245522642784;15,747544773572164;0,6880482412836016
8;17/04/2019 8:00;800;3;0;288;101000;0,910579400140195;672,0825374902302;1823689,1020205664;62,644756619220054;27,355243380779946;8,07882622056398
9;17/04/2019 9:00;800;3;0;288;101000;0,9258173631429725;672,7639667908531;1823630,3403353896;51,38804438979667;38,61195561020333;15,897922837341838
10;17/04/2019 10:00;800;3;0;288;101000;0,9301171644257842;672,2990542483942;1823657,8013554157;41,078965028938214;48,921034971061786;22,27505664183172
11;17/04/2019 11:00;800;3;0;288;101000;0,9317339783007004;671,5559560345143;1823707,630442656;32,86415126555857;57,13584873444143;26,663148666089175
12;17/04/2019 12:00;800;3;0;288;101000;0,9322359711400366;671,1278568134279;1823736,4661321372;28,75934435513235;61,24065564486765;28,570247160266668
13;17/04/2019 13:00;800;3;0;288;101000;0,9320308618227942;671,3220150024257;1823723,2746353112;30,52755009509336;59,47244990490664;27,74309123537551
14;17/04/2019 14:00;800;3;0;288;101000;0,9309524890841434;671,9965095631339;1823677,961126377;37,323382866998315;52,676617133001685;24,29398155428892
15;17/04/2019 15:00;800;3;0;288;101000;0,9280732865274359;672,690900196907;1823632,9639608604;46,94517332056903;43,05482667943097;18,64156095451557
16;17/04/2019 16:00;800;3;0;288;101000;0,919418433177643;672,2745447467206;1823671,4716871276;57,89398694120676;32,10601305879324;11,328807937556729
17;17/04/2019 17:00;800;3;0;288;101000;0,899446201148366;671,5729270936109;1823733,0186183131;69,39531426996898;20,604685730031022;2,8766200420775436
18;17/04/2019 18:00;800;3;0;288;101000;0,8665824148133835;598,28922099618;1830552,2523683438;81,01097715533169;8,989022844668316;6,266617677772768
19;17/04/2019 19:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559;92,41746520660901;-2,4174652066090108;15,707858149796229
20;17/04/2019 20:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559;103,28654762290088;-13,286547622900878;25,058632686164138
21;17/04/2019 21:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559;113,19601696209958;-23,19601696209958;33,86184207221788
22;17/04/2019 22:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559;121,54445669436598;-31,54445669436598;41,49681650758557
23;17/04/2019 23:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559;127,50627043386856;-37,50627043386856;47,09953040766591
