;Date;DNI;Wspd;Wdir;DryBulb;Pressure;pr;tout;pout
0;17/01/2019 0:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
1;17/01/2019 1:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
2;17/01/2019 2:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
3;17/01/2019 3:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
4;17/01/2019 4:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
5;17/01/2019 5:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
6;17/01/2019 6:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
7;17/01/2019 7:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
8;17/01/2019 8:00;800;3;0;288;101000;0,8102972850371836;566,0127348012035;1831743,8808446056
9;17/01/2019 9:00;800;3;0;288;101000;0,9190094580645586;625,3062038604091;1828245,5680305506
10;17/01/2019 10:00;800;3;0;288;101000;0,9327158483635042;659,6985238023196;1824674,3020921997
11;17/01/2019 11:00;800;3;0;288;101000;0,9304138176081965;650,1399065451862;1825622,566021314
12;17/01/2019 12:00;800;3;0;288;101000;0,9279020216290622;642,1457567276889;1826457,3558486989
13;17/01/2019 13:00;800;3;0;288;101000;0,9283670574884809;643,510654660831;1826313,800016926
14;17/01/2019 14:00;800;3;0;288;101000;0,9310985026391804;652,6532218086074;1825365,6102611625
15;17/01/2019 15:00;800;3;0;288;101000;0,9317631893717748;656,8014979753281;1824962,2106579044
16;17/01/2019 16:00;800;3;0;288;101000;0,9105860808069894;612,5572624809531;1829442,4664798372
17;17/01/2019 17:00;800;3;0;288;101000;0,6134157350839725;549,9492864924179;1831699,0218041618
18;17/01/2019 18:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
19;17/01/2019 19:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
20;17/01/2019 20:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
21;17/01/2019 21:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
22;17/01/2019 22:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
23;17/01/2019 23:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
24;17/02/2019 0:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
25;17/02/2019 1:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
26;17/02/2019 2:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
27;17/02/2019 3:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
28;17/02/2019 4:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
29;17/02/2019 5:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
30;17/02/2019 6:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
31;17/02/2019 7:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
32;17/02/2019 8:00;800;3;0;288;101000;0,896603808630776;603,2628293884231;1830199,5622101622
33;17/02/2019 9:00;800;3;0;288;101000;0,9318932800811291;665,2784967706353;1824191,471856556
34;17/02/2019 10:00;800;3;0;288;101000;0,933526432586795;666,1394133068737;1824105,3586177428
35;17/02/2019 11:00;800;3;0;288;101000;0,9330146864155067;661,3833114581636;1824518,08137452
36;17/02/2019 12:00;800;3;0;288;101000;0,9323102299799806;657,7016299708437;1824864,7176906615
37;17/02/2019 13:00;800;3;0;288;101000;0,9323685342107173;657,9756173294726;1824838,2885136125
38;17/02/2019 14:00;800;3;0;288;101000;0,9331056147690221;661,9555803754348;1824466,063968557
39;17/02/2019 15:00;800;3;0;288;101000;0,933533244841073;666,661175673423;1824063,2138417396
40;17/02/2019 16:00;800;3;0;288;101000;0,9302965619939622;660,2278407834339;1824653,2637296706
41;17/02/2019 17:00;800;3;0;288;101000;0,8867788474267115;595,8531553335081;1830702,8041549912
