;Date;Aperture;DNI;Wspd;Wdir;DryBulb;Pressure;pr;tout;pout
0;17/06/2019 17:00;5,0;800;3;0;288;101000;0,9022455646965022;656,8090229237307;1825015,1548406049
1;17/06/2019 17:00;5,5;800;3;0;288;101000;0,906244586166097;667,2372143388615;1824057,6976900466
2;17/06/2019 17:00;6,0;800;3;0;288;101000;0,9095158307709599;676,5870902741393;1823342,3362026785
3;17/06/2019 17:00;6,5;800;3;0;288;101000;0,9122656577297082;684,6877640083319;1822632,7983767122
4;17/06/2019 17:00;7,0;800;3;0;288;101000;0,9146432708416384;691,492261045757;1821929,102265838
5;17/06/2019 17:00;7,5;800;3;0;288;101000;0,9167595894800883;697,0754413336564;1821204,9545848705
6;17/06/2019 17:00;8,0;800;3;0;288;101000;0,9176200371681591;699,1711521357872;1820891,812140928
7;17/06/2019 17:00;8,5;800;3;0;288;101000;0,9176200371681595;699,1711521357872;1820891,8121409283
8;17/06/2019 17:00;9,0;800;3;0;288;101000;0,9176200371681591;699,1711521357872;1820891,812140928
9;17/06/2019 17:00;9,5;800;3;0;288;101000;0,9176200371681591;699,1711521357872;1820891,812140928
10;17/06/2019 17:00;10,0;800;3;0;288;101000;0,9176200371681595;699,1711521357872;1820891,8121409283
11;17/06/2019 17:00;10,5;800;3;0;288;101000;0,9176200371681595;699,1711521357872;1820891,8121409283
12;17/06/2019 17:00;11,0;800;3;0;288;101000;0,9176200371681595;699,1711521357872;1820891,8121409283
13;17/06/2019 17:00;11,5;800;3;0;288;101000;0,9176200371681591;699,1711521357872;1820891,812140928
14;17/06/2019 17:00;12,0;800;3;0;288;101000;0,9176200371681595;699,1711521357872;1820891,8121409283
15;17/06/2019 17:00;12,5;800;3;0;288;101000;0,9176200371681591;699,1711521357872;1820891,812140928
16;17/06/2019 17:00;13,0;800;3;0;288;101000;0,9176200371681595;699,1711521357872;1820891,8121409283
17;17/06/2019 17:00;13,5;800;3;0;288;101000;0,9176200371681595;699,1711521357872;1820891,8121409283
18;17/06/2019 17:00;14,0;800;3;0;288;101000;0,9176200371681591;699,1711521357872;1820891,812140928
19;17/06/2019 17:00;14,5;800;3;0;288;101000;0,9176200371681595;699,1711521357872;1820891,8121409283
20;17/06/2019 17:00;15,0;800;3;0;288;101000;0,9176200371681591;699,1711521357872;1820891,812140928
