date;DNI;DryBulb;Pressure;Wspd;SB.NO.a.mf;SB.NO.a.tin;SB.NO.a.tout;NetPower;AuxPower;GrossPower;SB.NO.a.pin;SB.NO.a.pout;elevation;zenith;azimuth;aoi;IAM;pr_shadows;pr_borders;pr_opt_peak;solar_fraction;SF.x.mf;SF.x.tin;SF.x.tout;SF.x.pin;SF.x.pout;SF.x.prth;SF.x.prop;SF.x.qabs;SF.x.qlst;SF.x.qlbk;SF.x.pwr;SF.x.globalpr;LB.000.x.mf;LB.000.x.tin;LB.000.x.tout;LB.000.x.pin;LB.000.x.pout;LB.000.x.prth;LB.000.x.prop;LB.000.x.qabs;LB.000.x.qlst;LB.000.x.qlbk;SB.NO.x.mf;SB.NO.x.tin;SB.NO.x.tout;SB.NO.x.pin;SB.NO.x.pout;SB.NO.x.prth;SB.NO.x.prop;SB.NO.x.qabs;SB.NO.x.qlst;SB.NO.x.qlbk;SF.a.mf;SF.a.tin;SF.a.tout;SF.a.pwr;SF.b.tout;SF.b.prth;SF.b.prop;SF.b.pwr;SF.b.wpwr;SF.a.pin;SF.a.pout;SF.b.pout;SF.b.qabs;SF.b.qlst;SF.b.qlbk;SF.a.prth;SF.a.globalpr;LB.NO.a.mf;LB.NO.a.tin;LB.NO.a.tout;LB.NO.b.tout;LB.NO.a.pin;LB.NO.b.pout;LB.NO.b.prth;LB.NO.b.prop;LB.NO.b.qabs;LB.NO.b.qlst;LB.NO.b.qlbk;LB.NO.b.wpwr;SB.NO.b.tout;SB.NO.b.pout;SB.NO.b.prth;SB.NO.b.prop;SB.NO.b.qabs;SB.NO.b.qlst;SB.NO.b.qlbk;SB.NO.b.wpwr;SF.b.globalpr
2007-08-22 00:00:00;0,0;292,25;99300,0;1,7;204,0;518,847;516,78;-0,3703;-0,3703;0,0;1203823,4;1153339,885;-38,82175023310142;128,82175023310143;4,478076481603011;50,96138683713308;0,8500153415934946;0,0;0,9808679554985893;0,7990220668465727;0,9224622792;203,99999999999994;519,0805686816096;504,23390161603504;1203823,4;1182961,3549124869;0,0;0,42777807885433233;0,0;449980,9398460147;9048,543028083312;-6,553590260380221;0,0;1,7;518,847;503,82935806881244;1203823,4;1182961,3549124866;0,0;0,4277780788543321;0,0;3749,8411653834573;75,4045252340276;203,99999999999994;518,847;504,0313968309208;1203823,4;1182961,3549124869;0,0;0,42777807885433233;0,0;449980,9398460147;9048,543028083312;203,99999999999994;519,0805686816096;517,0095536496498;-0,9216714906926192;504,2326229428037;0,0;0,42777807885433233;-6,55414930902533;0,0;1203823,4;1153339,885;1182961,35417006;0,0;450018,7139587183;9048,91903090363;0,0;0,0;1,7;518,847;0,0;503,8280852740721;1203823,4;1182961,3541700593;0,0;0,4277780788543321;0,0;3750,1559496559858;75,4076585908636;0,0;504,0301210962374;1182961,35417006;0,0;0,42777807885433233;0,0;450018,7139587183;9048,91903090363;0,0;
2007-08-22 01:00:00;0,0;290,95;99300,0;1,4;204,0;510,07399999999996;508,18899999999996;-0,3703;-0,3703;0,0;1192299,6469999999;1142352,975;-36,08900167794126;126,08900167794127;22,673656190346435;48,21487995060537;0,876543110777294;0,0;0,9826392572618099;0,7990220668465727;0,9224622792;203,99999999999994;510,2898702294941;496,420647235658;1192299,6469999999;1171427,7710208995;0,0;0,4666885928899621;0,0;415676,18661399314;8746,00663756601;-6,056821464767616;0,0;1,7;510,07399999999996;496,0540310941457;1192299,6469999999;1171427,771020899;0,0;0,46668859288996184;0,0;3463,9682217832774;72,88338864638341;203,99999999999994;510,07399999999996;496,23710387577705;1192299,6469999999;1171427,7710208995;0,0;0,4666885928899621;0,0;415676,18661399314;8746,00663756601;203,99999999999994;510,2898702294941;508,4008155970491;-0,8313923511887239;496,41571520473343;0,0;0,4666885928899621;-6,0589558756911766;0,0;1192299,6469999999;1142352,975;1171427,7697206615;0,0;415820,35561679606;8747,528702623946;0,0;0,0;1,7;510,07399999999996;0,0;496,04912432167595;1192299,6469999999;1171427,7697206608;0,0;0,46668859288996184;0,0;3465,169630139968;72,89607252186619;0,0;496,23218447427416;1171427,7697206615;0,0;0,4666885928899621;0,0;415820,35561679606;8747,528702623946;0,0;
2007-08-22 02:00:00;0,0;290,25;99300,0;2,6;204,0;501,9359999999999;500,18499999999995;-0,3703;-0,3703;0,0;1181337,453;1128979,4309999999;-30,14009868240335;120,14009868240335;38,7227754387892;42,4309666787669;0,919771750587065;0,0;0,9858182190049426;0,7990220668465727;0,9224622792;203,99999999999994;502,13360771789587;489,0920230774531;1181337,453;1160460,8655087128;0,0;0,5424361536273313;0,0;386635,57649050595;8442,973044798315;-5,637939977335119;0,0;1,7;501,9359999999999;488,7648681119835;1181337,453;1160460,8655087126;0,0;0,5424361536273312;0,0;3221,963137420882;70,35810870665263;203,99999999999994;501,9359999999999;488,92821381379645;1181337,453;1160460,8655087128;0,0;0,5424361536273313;0,0;386635,57649050595;8442,973044798315;203,99999999999994;502,13360771789587;500,37840477162763;-0,7644227473120904;489,0877924926858;0,0;0,5424361536273313;-5,639753144362085;0,0;1181337,453;1128979,4309999999;1160460,8644530142;0,0;386758,0035754592;8444,334732505164;0,0;0,0;1,7;501,9359999999999;0,0;488,7606614381581;1181337,453;1160460,8644530145;0,0;0,5424361536273312;0,0;3222,9833631288257;70,36945610420972;0,0;488,92399518862635;1160460,8644530142;0,0;0,5424361536273313;0,0;386758,0035754592;8444,334732505164;0,0;
2007-08-22 03:00:00;0,0;289,54999999999995;99300,0;1,4;204,0;494,485;492,888;-0,3703;-0,3703;0,0;1173124,184;1124539,978;-21,842377902233025;111,84237790223303;52,216324148896774;34,659484612895774;0,958781004014456;0,0;0,9892736919289336;0,7990220668465727;0,9224622792;203,99999999999994;494,66399039570854;482,4146790320797;1173124,184;1152242,849547857;0,0;0,6301422426169133;0,0;359441,2569091845;8168,891336633635;-5,246010011811321;0,0;1,7;494,485;482,12690678834986;1173124,184;1152242,8495478567;0,0;0,6301422426169129;0,0;2995,343807576538;68,07409447194694;203,99999999999994;494,485;482,2705712360937;1173124,184;1152242,849547857;0,0;0,6301422426169133;0,0;359441,2569091845;8168,891336633635;203,99999999999994;494,66399039570854;493,0627437154126;-0,6906324362572529;482,4111464643631;0,0;0,6301422426169133;-5,247510534195683;0,0;1173124,184;1124539,978;1152242,8477194628;0,0;359542,5410291608;8170,08018533683;0,0;0,0;1,7;494,485;0,0;482,1233959235713;1173124,184;1152242,8477194628;0,0;0,6301422426169129;0,0;2996,187841909673;68,08400154447357;0,0;482,2670495272182;1152242,8477194628;0,0;0,6301422426169133;0,0;359542,5410291608;8170,08018533683;0,0;
2007-08-22 04:00:00;0,0;289,04999999999995;99300,0;0,5;204,0;487,667;486,20799999999997;-0,3703;-0,3703;0,0;1164591,7;1111791,556;-11,989236591383916;101,98923659138391;63,605731528171646;25,775656835108457;0,9856561236544658;0,0;0,9925082804361613;0,7990220668465727;0,9224622792;203,99999999999994;487,8272041971454;476,2696393308798;1164591,7;1143701,7775018478;0,0;0,7092015143052458;0,0;335846,84647857386;7911,258910995206;-4,906864546839142;0,0;1,7;487,667;476,0209828569856;1164591,7;1143701,7775018478;0,0;0,7092015143052457;0,0;2798,7237206547825;65,9271575916267;203,99999999999994;487,667;476,1451057767588;1164591,7;1143701,7775018478;0,0;0,7092015143052458;0,0;335846,84647857386;7911,258910995206;203,99999999999994;487,8272041971454;486,3639596111401;-0,6254582074504634;476,26665243588513;0,0;0,7092015143052458;-4,908122772652038;0,0;1164591,7;1111791,556;1143701,7744754502;0,0;335931,75189816894;7912,306172794338;0,0;0,0;1,7;487,667;0,0;476,0180156276746;1164591,7;1143701,7744754502;0,0;0,7092015143052457;0,0;2799,431265818075;65,93588477328615;0,0;476,1421287243244;1143701,7744754502;0,0;0,7092015143052458;0,0;335931,75189816894;7912,306172794338;0,0;
2007-08-22 05:00:00;0,0;288,95;99300,0;0,4;204,0;481,332;479,98;-0,3703;-0,3703;0,0;1153948,739;1108192,886;-1,16576686876835;91,16576686876834;73,60126666916557;16,39524329130991;1,0;0,0;0,995435326747479;0,7990220668465727;0,9224622792;203,99999999999994;481,4731975592814;470,5227051635468;1153948,739;1133043,9242948112;0,0;0,7665317611691722;0,0;315217,5007286117;7655,273339497759;-4,611178639937753;0,0;1,7;481,332;470,31301093186136;1153948,739;1133043,9242948107;0,0;0,7665317611691723;0,0;2626,812506071764;63,79394449581464;203,99999999999994;481,332;470,41767470710886;1153948,739;1133043,9242948112;0,0;0,7665317611691722;0,0;315217,5007286117;7655,273339497759;203,99999999999994;481,4731975592814;480,1169482950954;-0,5748355348599377;470,52011816047764;0,0;0,7665317611691722;-4,61225988565128;0,0;1153948,739;1108192,886;1133043,919928315;0,0;315290,44638777344;7656,214488397881;0,0;0,0;1,7;481,332;0,0;470,3104419609073;1153948,739;1133043,9199283146;0,0;0,7665317611691723;0,0;2627,420386564778;63,801787403315686;0,0;470,4150967314731;1133043,919928315;0,0;0,7665317611691722;0,0;315290,44638777344;7656,214488397881;0,0;
2007-08-22 06:00:00;203,0;290,04999999999995;99300,0;0,6;204,0;498,63199999999995;510,874;-0,3703;-0,3703;0,0;1147811,162;1099709,833;10,213236448785807;79,7867635512142;82,91863317456006;6,968599114685957;1,0;0,49936251149077493;0,99810372781643;0,7990220668465727;0,9224622792;203,99999999999994;498,821590199615;548,4610809165379;1147811,162;1126983,0549411976;0,7411764459477169;0,7931195253856933;2021275,1013974242;520361,3565483853;9775,54806399247;22,247345505801977;0,0;1,7;498,63199999999995;547,887051866609;1147811,162;1126983,0549411972;0,7411764459477168;0,7931195253856929;16843,959178311874;4336,344637903212;81,46290053327056;203,99999999999994;498,63199999999995;548,1737886623484;1147811,162;1126983,0549411976;0,7411764459477169;0,7931195253856933;2021275,1013974242;520361,3565483853;9775,54806399247;203,99999999999994;498,821590199615;511,0915615105778;5,369576308994411;548,4610809165379;0,7411764459477169;0,7931195253856933;22,247345505801977;0,0;1147811,162;1099709,833;1126983,0549411976;2021275,1013974242;520361,3565483853;9775,54806399247;26,565291905501198;0,0;1,7;498,63199999999995;0,0;547,887051866609;1147811,162;1126983,0549411972;0,7411764459477168;0,7931195253856929;16843,959178311874;4336,344637903212;81,46290053327056;0,0;548,1737886623484;1126983,0549411976;0,7411764459477169;0,7931195253856933;2021275,1013974242;520361,3565483853;9775,54806399247;0,0;
2007-08-22 07:00:00;306,0;291,45;99300,0;0,4;204,0;566,15;666,15;-0,36940100000000003;-0,36940100000000003;0,0;1181158,398;1106300,074;21,824149636077607;68,1758503639224;92,28436964936884;2,120569397113155;1,0;1,0;0,9994255434711425;0,7990220668465727;0,9224622792;292,0245362705587;566,4770495016792;668,2257930044514;1181158,398;1140277,6641957955;0,8026606349829434;0,7984748758830384;6150809,27441821;1180838,1269584708;13909,517738836968;73,22532487107665;0,0;2,4335378022546568;566,15;667,0395039977333;1181158,398;1140277,6641957953;0,8026606349829428;0,798474875883038;51256,743953485086;9840,31772465392;115,91264782364138;292,0245362705587;566,15;667,6346980108194;1181158,398;1140277,6641957955;0,8026606349829434;0,7984748758830384;6150809,27441821;1180838,1269584708;13909,517738836968;203,99999999999994;566,4770495016792;666,7509250211738;50,363406837076234;700,0225910871465;0,7649569767070269;0,7984748758830384;68,59013913901781;15,01018108687984;1181158,398;1106300,074;1159800,8368515754;6150809,27441821;1385422,9005903364;14770,97095443545;81,88094377522377;0,0;1,7;566,15;0,0;700,2728956416488;1181158,398;1159800,8368515754;0,7649569767070267;0,798474875883038;51256,743953485086;11545,190838252802;123,09142462029544;125084,84239066533;700,1450008747515;1159800,8368515754;0,7649569767070269;0,7984748758830384;6150809,27441821;1385422,9005903364;14770,97095443545;15,01018108687984;
2007-08-22 08:00:00;526,0;293,25;99300,0;0,4;557,326;566,15;666,15;47,7531;-2,89945;50,6525;1428432,9270000001;1290594,14;33,34838605131394;56,65161394868606;102,57997084550618;10,48275219436901;1,0;1,0;0,9971294462877027;0,7990220668465727;0,9224622792;554,001176489236;566,4770495016792;666,3636572168596;1428432,9270000001;1295455,4916054802;0,8842756694371189;0,7856861660663583;10379717,308158439;1169454,8246859133;13786,818263840776;136,20909305611562;0,0;4,6166764707436325;566,15;665,1535672685102;1428432,9270000001;1295455,4916054802;0,8842756694371188;0,7856861660663584;86497,64423465365;9745,45687238261;114,89015219867309;554,001176489236;566,15;665,7603674108979;1428432,9270000001;1295455,4916054802;0,8842756694371189;0,7856861660663583;10379717,308158439;1169454,8246859133;13786,818263840776;557,3260000000002;566,4770495016792;666,7509250211738;137,5923337200017;665,8492400581729;0,8845766852953182;0,7856861660663581;136,2754658720227;0,0;1428432,9270000001;1290594,14;1294005,0400199576;10379717,308158439;1166637,8275623147;13774,046331128826;132,55884494258277;0,3681346091787139;4,644383333333334;566,15;0,0;664,6332981365184;1428432,9270000001;1294005,0400199578;0,8845766852953182;0,7856861660663584;86497,64423465365;9721,981896352623;114,78371942607357;0,0;665,2429439160484;1294005,0400199576;0,8845766852953182;0,7856861660663581;10379717,308158439;1166637,8275623147;13774,046331128826;0,0;0,37169199661785157
2007-08-22 09:00:00;556,0;294,95;99300,0;0,6;567,889;566,15;666,15;52,4377;-2,97167;55,4094;1919196,534;1657899,2140000002;44,35274958775635;45,64725041224365;115,12579568004219;17,674861658008375;0,9987742714561694;1,0;0,9950562912137281;0,7990220668465727;0,9224622792;566,9374027311617;566,4770495016792;666,3898118133269;1919196,534;1780440,564061907;0,8867055368357531;0,7603709047600017;10596124,815576741;1168742,5255371407;13713,927890566549;139,42850918481446;0,0;4,724478356093012;566,15;665,1800275528182;1919196,534;1780440,5640619076;0,8867055368357537;0,7603709047600019;88301,0401298062;9739,52104614284;114,2827324213879;566,9374027311617;566,15;665,7866789501857;1919196,534;1780440,564061907;0,8867055368357531;0,7603709047600017;10596124,815576741;1168742,5255371407;13713,927890566549;567,889;566,4770495016792;666,7509250211738;140,20012130049207;666,2452136060133;0,8867884826853453;0,760370904760002;139,44735183435355;0,0;1919196,534;1657899,2140000002;1780017,869625357;10596124,815576741;1167949,990574645;13710,33942324164;132,31263668618936;0,39521649115581414;4,732408333333334;566,15;0,0;665,0337492526941;1919196,534;1780017,8696253563;0,8867884826853454;0,7603709047600019;88301,0401298062;9732,916588122042;114,25282852701366;0,0;665,6412180512457;1780017,869625357;0,8867884826853453;0,760370904760002;10596124,815576741;1167949,990574645;13710,33942324164;0,0;0,3973499623414836
