;Date;DNI;Wspd;Wdir;DryBulb;Pressure;pr;tout;pout
0;17/06/2019 12:00;800;3;0;288;101000;0,9255779731485129;672,732517348503;1823633,001067491
1;17/06/2019 12:00;800;3;0;290;101000;0,9256715101897051;672,7412329861357;1823632,3556230157
2;17/06/2019 12:00;800;3;0;292;101000;0,925767004293608;672,7501299073173;1823631,6970028898
3;17/06/2019 12:00;800;3;0;294;101000;0,9258644826284264;672,7592105759895;1823631,0250404577
4;17/06/2019 12:00;800;3;0;296;101000;0,925963972552513;672,7684774711369;1823630,3395685682
5;17/06/2019 12:00;800;3;0;298;101000;0,9260655016143725;672,7779330867047;1823629,6404196532
6;17/06/2019 12:00;800;3;0;300;101000;0,9261690975529592;672,787579931556;1823628,9274256497
7;17/06/2019 12:00;800;3;0;302;101000;0,9262747882975978;672,7974205293816;1823628,200418153
8;17/06/2019 12:00;800;3;0;304;101000;0,9263826019682808;672,8074574186294;1823627,459228342
9;17/06/2019 12:00;800;3;0;306;101000;0,9264925668757025;672,8176931524478;1823626,703687062
10;17/06/2019 12:00;800;3;0;308;101000;0,9266047115213993;672,8281302986011;1823625,9336248154
11;17/06/2019 12:00;800;3;0;310;101000;0,9267190645978735;672,8387714393967;1823625,1488718109
12;17/06/2019 12:00;800;3;0;312;101000;0,9268356549887834;672,849619171594;1823624,3492579851
13;17/06/2019 12:00;800;3;0;314;101000;0,9269545117690047;672,8606761063555;1823623,5346130359
14;17/06/2019 12:00;800;3;0;316;101000;0,9270756642048346;672,8719448691293;1823622,7047664158
15;17/06/2019 12:00;800;3;0;318;101000;0,927199141754088;672,8834280996141;1823621,8595474528
16;17/06/2019 12:00;800;3;0;320;101000;0,9273249740662534;672,8951284516245;1823620,9987852776
17;17/06/2019 12:00;800;3;0;322;101000;0,9274531909826723;672,9070485930479;1823620,1223088957
18;17/06/2019 12:00;800;3;0;324;101000;0,927583822536631;672,919191205721;1823619,2299472357
19;17/06/2019 12:00;800;3;0;326;101000;0,9277168989536116;672,9315589853704;1823618,3215291877
20;17/06/2019 12:00;800;3;0;328;101000;0,9278524506512961;672,9441546415214;1823617,3968835752
21;17/06/2019 12:00;800;3;0;330;101000;0,9279905082398837;672,9569808973653;1823616,4558392477
22;17/06/2019 12:00;800;3;0;332;101000;0,9281311025221485;672,9700404897184;1823615,4982251055
23;17/06/2019 12:00;800;3;0;334;101000;0,9282742644936612;672,9833361689089;1823614,5238701256
