;Date;DNI;Wspd;Wdir;DryBulb;Pressure;pr;tout;pout
0;17/06/2019 0:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
1;17/06/2019 1:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
2;17/06/2019 2:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
3;17/06/2019 3:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
4;17/06/2019 4:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
5;17/06/2019 5:00;800;3;0;288;101000;0,5152436421460175;546,963686741389;1831655,8309192646
6;17/06/2019 6:00;800;3;0;288;101000;0,9071003902757301;619,2475975148756;1828849,6151706565
7;17/06/2019 7:00;800;3;0;288;101000;0,9187956723327909;672,2506799821604;1823673,5629184549
8;17/06/2019 8:00;800;3;0;288;101000;0,8995713288208451;672,1673421365922;1823688,9898608748
9;17/06/2019 9:00;800;3;0;288;101000;0,9002681119054877;672,0825803501288;1823694,9840981408
10;17/06/2019 10:00;800;3;0;288;101000;0,9167673433146041;672,1878483983371;1823679,165111603
11;17/06/2019 11:00;800;3;0;288;101000;0,9236184860003837;672,525887145545;1823650,1935461517
12;17/06/2019 12:00;800;3;0;288;101000;0,9255779731485129;672,732517348503;1823633,001067491
13;17/06/2019 13:00;800;3;0;288;101000;0,9248783557507162;672,6491471968885;1823640,0925018312
14;17/06/2019 14:00;800;3;0;288;101000;0,9208277605425231;672,3388538509607;1823665,912550584
15;17/06/2019 15:00;800;3;0;288;101000;0,9078671560963104;672,0597303531443;1823692,3166675614
16;17/06/2019 16:00;800;3;0;288;101000;0,899605682507466;672,3309454478549;1823676,8524391623
17;17/06/2019 17:00;800;3;0;288;101000;0,9079567581435283;672,0602593148658;1823692,2278398997
18;17/06/2019 18:00;800;3;0;288;101000;0,9193199921343836;652,0143548035941;1825491,1816651216
19;17/06/2019 19:00;800;3;0;288;101000;0,8552413834645304;578,7224991985241;1831496,733844616
20;17/06/2019 20:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
21;17/06/2019 21:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
22;17/06/2019 22:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
23;17/06/2019 23:00;800;3;0;288;101000;0,0;536,337649645004;1831436,6960584559
