date;qabs;Wspd;Wdir;DryBulb;Pressure
17/06/2019 12:00;0;3;0;288;101000
17/06/2019 12:00;1000;3;0;288;101000
17/06/2019 12:00;2000;3;0;288;101000
17/06/2019 12:00;3000;3;0;288;101000
17/06/2019 12:00;4000;3;0;288;101000
17/06/2019 12:00;5000;3;0;288;101000
17/06/2019 12:00;6000;3;0;288;101000
17/06/2019 12:00;7000;3;0;288;101000
17/06/2019 12:00;8000;3;0;288;101000
17/06/2019 12:00;9000;3;0;288;101000
17/06/2019 12:00;10000;3;0;288;101000
17/06/2019 12:00;11000;3;0;288;101000
17/06/2019 12:00;12000;3;0;288;101000
17/06/2019 12:00;13000;3;0;288;101000
17/06/2019 12:00;14000;3;0;288;101000
17/06/2019 12:00;15000;3;0;288;101000
17/06/2019 12:00;16000;3;0;288;101000
17/06/2019 12:00;17000;3;0;288;101000
17/06/2019 12:00;18000;3;0;288;101000
17/06/2019 12:00;19000;3;0;288;101000
17/06/2019 12:00;20000;3;0;288;101000
17/06/2019 12:00;21000;3;0;288;101000
17/06/2019 12:00;22000;3;0;288;101000
17/06/2019 12:00;23000;3;0;288;101000
17/06/2019 12:00;24000;3;0;288;101000
17/06/2019 12:00;25000;3;0;288;101000
17/06/2019 12:00;26000;3;0;288;101000
17/06/2019 12:00;27000;3;0;288;101000
17/06/2019 12:00;28000;3;0;288;101000
17/06/2019 12:00;29000;3;0;288;101000
17/06/2019 12:00;30000;3;0;288;101000
17/06/2019 12:00;31000;3;0;288;101000
17/06/2019 12:00;32000;3;0;288;101000
17/06/2019 12:00;33000;3;0;288;101000
17/06/2019 12:00;34000;3;0;288;101000
17/06/2019 12:00;35000;3;0;288;101000
17/06/2019 12:00;36000;3;0;288;101000
17/06/2019 12:00;37000;3;0;288;101000
17/06/2019 12:00;38000;3;0;288;101000
17/06/2019 12:00;39000;3;0;288;101000
17/06/2019 12:00;40000;3;0;288;101000
17/06/2019 12:00;41000;3;0;288;101000
17/06/2019 12:00;42000;3;0;288;101000
17/06/2019 12:00;43000;3;0;288;101000
17/06/2019 12:00;44000;3;0;288;101000
17/06/2019 12:00;45000;3;0;288;101000
17/06/2019 12:00;46000;3;0;288;101000
17/06/2019 12:00;47000;3;0;288;101000
17/06/2019 12:00;48000;3;0;288;101000
17/06/2019 12:00;49000;3;0;288;101000
17/06/2019 12:00;50000;3;0;288;101000
17/06/2019 12:00;51000;3;0;288;101000
17/06/2019 12:00;52000;3;0;288;101000
17/06/2019 12:00;53000;3;0;288;101000
17/06/2019 12:00;54000;3;0;288;101000
17/06/2019 12:00;55000;3;0;288;101000
17/06/2019 12:00;56000;3;0;288;101000
17/06/2019 12:00;57000;3;0;288;101000
17/06/2019 12:00;58000;3;0;288;101000
17/06/2019 12:00;59000;3;0;288;101000
17/06/2019 12:00;60000;3;0;288;101000
17/06/2019 12:00;61000;3;0;288;101000
17/06/2019 12:00;62000;3;0;288;101000
17/06/2019 12:00;63000;3;0;288;101000
17/06/2019 12:00;64000;3;0;288;101000
17/06/2019 12:00;65000;3;0;288;101000
17/06/2019 12:00;66000;3;0;288;101000
17/06/2019 12:00;67000;3;0;288;101000
17/06/2019 12:00;68000;3;0;288;101000
17/06/2019 12:00;69000;3;0;288;101000
17/06/2019 12:00;70000;3;0;288;101000
17/06/2019 12:00;71000;3;0;288;101000
17/06/2019 12:00;72000;3;0;288;101000
17/06/2019 12:00;73000;3;0;288;101000
17/06/2019 12:00;74000;3;0;288;101000
17/06/2019 12:00;75000;3;0;288;101000
17/06/2019 12:00;76000;3;0;288;101000
17/06/2019 12:00;77000;3;0;288;101000
17/06/2019 12:00;78000;3;0;288;101000
17/06/2019 12:00;79000;3;0;288;101000
17/06/2019 12:00;80000;3;0;288;101000
17/06/2019 12:00;81000;3;0;288;101000
17/06/2019 12:00;82000;3;0;288;101000
17/06/2019 12:00;83000;3;0;288;101000
17/06/2019 12:00;84000;3;0;288;101000
17/06/2019 12:00;85000;3;0;288;101000
17/06/2019 12:00;86000;3;0;288;101000
17/06/2019 12:00;87000;3;0;288;101000
17/06/2019 12:00;88000;3;0;288;101000
17/06/2019 12:00;89000;3;0;288;101000
17/06/2019 12:00;90000;3;0;288;101000
17/06/2019 12:00;91000;3;0;288;101000
17/06/2019 12:00;92000;3;0;288;101000
17/06/2019 12:00;93000;3;0;288;101000
17/06/2019 12:00;94000;3;0;288;101000
17/06/2019 12:00;95000;3;0;288;101000
17/06/2019 12:00;96000;3;0;288;101000
17/06/2019 12:00;97000;3;0;288;101000
