date;qabs;Wspd;Wdir;DryBulb;Pressure
17/06/2019 12:00;15000;3;0;288;101000
17/06/2019 12:00;16000;3;0;288;101000
17/06/2019 12:00;17000;3;0;288;101000
17/06/2019 12:00;18000;3;0;288;101000
17/06/2019 12:00;19000;3;0;288;101000
17/06/2019 12:00;20000;3;0;288;101000
17/06/2019 12:00;21000;3;0;288;101000
17/06/2019 12:00;22000;3;0;288;101000
17/06/2019 12:00;23000;3;0;288;101000
17/06/2019 12:00;24000;3;0;288;101000
17/06/2019 12:00;25000;3;0;288;101000
17/06/2019 12:00;26000;3;0;288;101000
17/06/2019 12:00;27000;3;0;288;101000
17/06/2019 12:00;28000;3;0;288;101000
17/06/2019 12:00;29000;3;0;288;101000
17/06/2019 12:00;30000;3;0;288;101000
