Date;DNI;Wspd;Wdir;DryBulb;Pressure
17/01/2019 0:00;800;3;0;288;101000
17/01/2019 1:00;800;3;0;288;101000
17/01/2019 2:00;800;3;0;288;101000
17/01/2019 3:00;800;3;0;288;101000
17/01/2019 4:00;800;3;0;288;101000
17/01/2019 5:00;800;3;0;288;101000
17/01/2019 6:00;800;3;0;288;101000
17/01/2019 7:00;800;3;0;288;101000
17/01/2019 8:00;800;3;0;288;101000
17/01/2019 9:00;800;3;0;288;101000
17/01/2019 10:00;800;3;0;288;101000
17/01/2019 11:00;800;3;0;288;101000
17/01/2019 12:00;800;3;0;288;101000
17/01/2019 13:00;800;3;0;288;101000
17/01/2019 14:00;800;3;0;288;101000
17/01/2019 15:00;800;3;0;288;101000
17/01/2019 16:00;800;3;0;288;101000
17/01/2019 17:00;800;3;0;288;101000
17/01/2019 18:00;800;3;0;288;101000
17/01/2019 19:00;800;3;0;288;101000
17/01/2019 20:00;800;3;0;288;101000
17/01/2019 21:00;800;3;0;288;101000
17/01/2019 22:00;800;3;0;288;101000
17/01/2019 23:00;800;3;0;288;101000
17/02/2019 0:00;800;3;0;288;101000
17/02/2019 1:00;800;3;0;288;101000
17/02/2019 2:00;800;3;0;288;101000
17/02/2019 3:00;800;3;0;288;101000
17/02/2019 4:00;800;3;0;288;101000
17/02/2019 5:00;800;3;0;288;101000
17/02/2019 6:00;800;3;0;288;101000
17/02/2019 7:00;800;3;0;288;101000
17/02/2019 8:00;800;3;0;288;101000
17/02/2019 9:00;800;3;0;288;101000
17/02/2019 10:00;800;3;0;288;101000
17/02/2019 11:00;800;3;0;288;101000
17/02/2019 12:00;800;3;0;288;101000
17/02/2019 13:00;800;3;0;288;101000
17/02/2019 14:00;800;3;0;288;101000
17/02/2019 15:00;800;3;0;288;101000
17/02/2019 16:00;800;3;0;288;101000
17/02/2019 17:00;800;3;0;288;101000
17/02/2019 18:00;800;3;0;288;101000
17/02/2019 19:00;800;3;0;288;101000
17/02/2019 20:00;800;3;0;288;101000
17/02/2019 21:00;800;3;0;288;101000
17/02/2019 22:00;800;3;0;288;101000
17/02/2019 23:00;800;3;0;288;101000
17/03/2019 0:00;800;3;0;288;101000
17/03/2019 1:00;800;3;0;288;101000
17/03/2019 2:00;800;3;0;288;101000
17/03/2019 3:00;800;3;0;288;101000
17/03/2019 4:00;800;3;0;288;101000
17/03/2019 5:00;800;3;0;288;101000
17/03/2019 6:00;800;3;0;288;101000
17/03/2019 7:00;800;3;0;288;101000
17/03/2019 8:00;800;3;0;288;101000
17/03/2019 9:00;800;3;0;288;101000
17/03/2019 10:00;800;3;0;288;101000
17/03/2019 11:00;800;3;0;288;101000
17/03/2019 12:00;800;3;0;288;101000
17/03/2019 13:00;800;3;0;288;101000
17/03/2019 14:00;800;3;0;288;101000
17/03/2019 15:00;800;3;0;288;101000
17/03/2019 16:00;800;3;0;288;101000
17/03/2019 17:00;800;3;0;288;101000
17/03/2019 18:00;800;3;0;288;101000
17/03/2019 19:00;800;3;0;288;101000
17/03/2019 20:00;800;3;0;288;101000
17/03/2019 21:00;800;3;0;288;101000
17/03/2019 22:00;800;3;0;288;101000
17/03/2019 23:00;800;3;0;288;101000

