Date;DNI;Wspd;Wdir;DryBulb;Pressure
01/07/2019 12:00;100;0;0;288;101000
01/07/2019 12:00;125;0;0;288;101000
01/07/2019 12:00;150;0;0;288;101000
01/07/2019 12:00;175;0;0;288;101000
01/07/2019 12:00;200;0;0;288;101000
01/07/2019 12:00;225;0;0;288;101000
01/07/2019 12:00;250;0;0;288;101000
01/07/2019 12:00;275;0;0;288;101000
01/07/2019 12:00;300;0;0;288;101000
01/07/2019 12:00;325;0;0;288;101000
01/07/2019 12:00;350;0;0;288;101000
01/07/2019 12:00;375;0;0;288;101000
01/07/2019 12:00;400;0;0;288;101000
01/07/2019 12:00;425;0;0;288;101000
01/07/2019 12:00;450;0;0;288;101000
01/07/2019 12:00;475;0;0;288;101000
01/07/2019 12:00;500;0;0;288;101000
01/07/2019 12:00;525;0;0;288;101000
01/07/2019 12:00;550;0;0;288;101000
01/07/2019 12:00;575;0;0;288;101000
01/07/2019 12:00;600;0;0;288;101000
01/07/2019 12:00;625;0;0;288;101000
01/07/2019 12:00;650;0;0;288;101000
01/07/2019 12:00;675;0;0;288;101000
01/07/2019 12:00;700;0;0;288;101000
01/07/2019 12:00;725;0;0;288;101000
01/07/2019 12:00;750;0;0;288;101000
01/07/2019 12:00;775;0;0;288;101000
01/07/2019 12:00;800;0;0;288;101000
01/07/2019 12:00;825;0;0;288;101000
01/07/2019 12:00;850;0;0;288;101000
01/07/2019 12:00;875;0;0;288;101000
01/07/2019 12:00;900;0;0;288;101000
01/07/2019 12:00;925;0;0;288;101000
01/07/2019 12:00;950;0;0;288;101000
01/07/2019 12:00;975;0;0;288;101000
01/07/2019 12:00;1000;0;0;288;101000
